#p1    p2    Alive%
0.4    0.25    0.00035714000000000004
0.4    0.30000000000000004    0.0004324
0.4    0.35000000000000003    0.0005047200000000001
0.4    0.4    0.00060708
0.4    0.45    0.00068284
0.4    0.5    0.00076346
0.4    0.55    0.00081288
0.4    0.6000000000000001    0.0008682000000000001
0.4    0.65    0.0008962400000000001
0.4    0.7000000000000001    0.00092738
0.4    0.75    0.0009441000000000001
0.4    0.8    0.0009710200000000001
0.4    0.8500000000000001    0.00098136
0.4    0.9    0.00100292
0.4    0.9500000000000001    0.00101914
0.4    1.0    0.00103556
0.45    0.0    0.00011556
0.45    0.05    0.00013498
0.45    0.1    0.00015471999999999998
0.45    0.15000000000000002    0.00019074
0.45    0.2    0.0002351
0.45    0.25    0.0002863
0.45    0.30000000000000004    0.00035434
0.45    0.35000000000000003    0.00041002
0.45    0.4    0.00050794
0.45    0.45    0.00056538
0.45    0.5    0.00065324
0.45    0.55    0.0007233
0.45    0.6000000000000001    0.0007878599999999999
0.45    0.65    0.0008420400000000001
0.45    0.7000000000000001    0.0008708600000000001
0.45    0.75    0.0008987399999999999
0.45    0.8    0.00093262
0.45    0.8500000000000001    0.00095468
0.45    0.9    0.00097504
0.45    0.9500000000000001    0.00097812
0.45    1.0    0.0009992
0.5    0.0    8.840000000000001e-05
0.5    0.05    0.00010866
0.5    0.1    0.00012674
0.5    0.15000000000000002    0.00014598
0.5    0.2    0.00019056
0.5    0.25    0.00023694000000000002
0.5    0.30000000000000004    0.00026634
0.5    0.35000000000000003    0.00032684
0.5    0.4    0.00039582
0.5    0.45    0.00045561999999999995
0.5    0.5    0.00054748
0.5    0.55    0.0006171999999999999
0.5    0.6000000000000001    0.00068486
0.5    0.65    0.00077278
0.5    0.7000000000000001    0.0008121399999999999
0.5    0.75    0.0008438
0.5    0.8    0.0008738
0.5    0.8500000000000001    0.0009054600000000001
0.5    0.9    0.00092232
0.5    0.9500000000000001    0.00094818
0.5    1.0    0.00096366
0.55    0.0    7.55e-05
0.55    0.05    9.276e-05
0.55    0.1    0.00010502000000000001
0.55    0.15000000000000002    0.00012056
0.55    0.2    0.00014376
0.55    0.25    0.0001761
0.55    0.30000000000000004    0.00021458
0.55    0.35000000000000003    0.00025638
0.55    0.4    0.00030686
0.55    0.45    0.00038050000000000003
0.55    0.5    0.00042996
0.55    0.55    0.00050644
0.55    0.6000000000000001    0.00057602
0.55    0.65    0.0006729
0.55    0.7000000000000001    0.00072114
0.55    0.75    0.00077882
0.55    0.8    0.0008148
0.55    0.8500000000000001    0.00085656
0.55    0.9    0.0008809200000000001
0.55    0.9500000000000001    0.00090096
0.55    1.0    0.0009318199999999999
0.6000000000000001    0.0    5.948e-05
0.6000000000000001    0.05    7.232e-05
0.6000000000000001    0.1    8.414e-05
0.6000000000000001    0.15000000000000002    0.00010464
0.6000000000000001    0.2    0.00012038
0.6000000000000001    0.25    0.00014572
0.6000000000000001    0.30000000000000004    0.00016674
0.6000000000000001    0.35000000000000003    0.00020653999999999998
0.6000000000000001    0.4    0.00024567999999999997
0.6000000000000001    0.45    0.00029729999999999996
0.6000000000000001    0.5    0.00034491999999999997
0.6000000000000001    0.55    0.0004266
0.6000000000000001    0.6000000000000001    0.00050254
0.6000000000000001    0.65    0.0005713199999999999
0.6000000000000001    0.7000000000000001    0.00063786
0.6000000000000001    0.75    0.00069982
0.6000000000000001    0.8    0.0007575
0.6000000000000001    0.8500000000000001    0.0007987000000000001
0.6000000000000001    0.9    0.0008367000000000001
0.6000000000000001    0.9500000000000001    0.0008533400000000001
0.6000000000000001    1.0    0.00088948
0.65    0.0    5.082e-05
0.65    0.05    5.518e-05
0.65    0.1    6.954e-05
0.65    0.15000000000000002    8.13e-05
0.65    0.2    9.4e-05
0.65    0.25    0.00011544
0.65    0.30000000000000004    0.00013304000000000001
0.65    0.35000000000000003    0.00016506
0.65    0.4    0.00018946000000000002
0.65    0.45    0.00023001999999999997
0.65    0.5    0.00027732
0.65    0.55    0.00035494
0.65    0.6000000000000001    0.0003973
0.65    0.65    0.00048808
0.65    0.7000000000000001    0.00054342
0.65    0.75    0.0006056
0.65    0.8    0.00067764
0.65    0.8500000000000001    0.00073914
0.65    0.9    0.00077976
0.65    0.9500000000000001    0.00080044
0.65    1.0    0.0008479
0.7000000000000001    0.0    3.7159999999999997e-05
0.7000000000000001    0.05    4.618e-05
0.7000000000000001    0.1    5.554e-05
0.7000000000000001    0.15000000000000002    6.714e-05
0.7000000000000001    0.2    8.248e-05
0.7000000000000001    0.25    9.232e-05
0.7000000000000001    0.30000000000000004    0.00010982
0.7000000000000001    0.35000000000000003    0.00013452
0.7000000000000001    0.4    0.00015956
0.7000000000000001    0.45    0.00019986
0.7000000000000001    0.5    0.00020817999999999998
0.7000000000000001    0.55    0.0002715
0.7000000000000001    0.6000000000000001    0.00031838
0.7000000000000001    0.65    0.00038849999999999996
0.7000000000000001    0.7000000000000001    0.00044572000000000004
0.7000000000000001    0.75    0.0005045
0.7000000000000001    0.8    0.00060888
0.7000000000000001    0.8500000000000001    0.0006391
0.7000000000000001    0.9    0.0006900599999999999
0.7000000000000001    0.9500000000000001    0.00074904
0.7000000000000001    1.0    0.0007838400000000001
0.75    0.0    3.0259999999999998e-05
0.75    0.05    3.7080000000000004e-05
0.75    0.1    4.746e-05
0.75    0.15000000000000002    5.264e-05
0.75    0.2    6.612e-05
0.75    0.25    7.7e-05
0.75    0.30000000000000004    9.651999999999999e-05
0.75    0.35000000000000003    0.00010640000000000001
0.75    0.4    0.00013088
0.75    0.45    0.00015308
0.75    0.5    0.00017892
0.75    0.55    0.0002158
0.75    0.6000000000000001    0.00027036
0.75    0.65    0.00031101999999999996
0.75    0.7000000000000001    0.0003713
0.75    0.75    0.00043096
0.75    0.8    0.0004891
0.75    0.8500000000000001    0.00058846
0.75    0.9    0.00060942
0.75    0.9500000000000001    0.00068288
0.75    1.0    0.0007390799999999999
0.8    0.0    2.13e-05
0.8    0.05    2.934e-05
0.8    0.1    3.544e-05
0.8    0.15000000000000002    4.4e-05
0.8    0.2    4.81e-05
0.8    0.25    6.54e-05
0.8    0.30000000000000004    7.276e-05
0.8    0.35000000000000003    9.312e-05
0.8    0.4    0.00011015999999999999
0.8    0.45    0.00012498
0.8    0.5    0.0001528
0.8    0.55    0.00016788
0.8    0.6000000000000001    0.00021236
0.8    0.65    0.00024994
0.8    0.7000000000000001    0.00030733999999999997
0.8    0.75    0.0003615
0.8    0.8    0.00039786
0.8    0.8500000000000001    0.00047645999999999995
0.8    0.9    0.00054252
0.8    0.9500000000000001    0.0005962200000000001
0.8    1.0    0.0006587
0.8500000000000001    0.0    1.404e-05
0.8500000000000001    0.05    2.046e-05
0.8500000000000001    0.1    2.544e-05
0.8500000000000001    0.15000000000000002    3.3600000000000004e-05
0.8500000000000001    0.2    4.118e-05
0.8500000000000001    0.25    5.01e-05
0.8500000000000001    0.30000000000000004    5.758e-05
0.8500000000000001    0.35000000000000003    6.929999999999999e-05
0.8500000000000001    0.4    8.68e-05
0.8500000000000001    0.45    0.00010085999999999999
0.8500000000000001    0.5    0.00011342000000000001
0.8500000000000001    0.55    0.00014536
0.8500000000000001    0.6000000000000001    0.00017454000000000002
0.8500000000000001    0.65    0.00019810000000000002
0.8500000000000001    0.7000000000000001    0.00022414
0.8500000000000001    0.75    0.00027738000000000003
0.8500000000000001    0.8    0.00034232
0.8500000000000001    0.8500000000000001    0.00039872000000000003
0.8500000000000001    0.9    0.00047897999999999994
0.8500000000000001    0.9500000000000001    0.0005380399999999999
0.8500000000000001    1.0    0.00057388
0.9    0.0    9.32e-06
0.9    0.05    1.554e-05
0.9    0.1    1.852e-05
0.9    0.15000000000000002    2.504e-05
0.9    0.2    3.286e-05
0.9    0.25    4.064e-05
0.9    0.30000000000000004    5.098e-05
0.9    0.35000000000000003    5.6620000000000003e-05
0.9    0.4    7.251999999999999e-05
0.9    0.45    8.472e-05
0.9    0.5    0.00010138000000000001
0.9    0.55    0.00011482000000000002
0.9    0.6000000000000001    0.00013198000000000002
0.9    0.65    0.00017708
0.9    0.7000000000000001    0.00020056
0.9    0.75    0.00023702
0.9    0.8    0.000273
0.9    0.8500000000000001    0.00033092
0.9    0.9    0.00036616
0.9    0.9500000000000001    0.00042274
0.9    1.0    0.00051588
0.9500000000000001    0.0    4.399999999999999e-06
0.9500000000000001    0.05    8.459999999999999e-06
0.9500000000000001    0.1    1.384e-05
0.9500000000000001    0.15000000000000002    1.91e-05
0.9500000000000001    0.2    2.3539999999999998e-05
0.9500000000000001    0.25    3.2279999999999996e-05
0.9500000000000001    0.30000000000000004    4.218e-05
0.9500000000000001    0.35000000000000003    4.704e-05
0.9500000000000001    0.4    5.417999999999999e-05
0.9500000000000001    0.45    6.92e-05
0.9500000000000001    0.5    7.956e-05
0.9500000000000001    0.55    0.00010046
0.9500000000000001    0.6000000000000001    0.00010648
0.9500000000000001    0.65    0.0001332
0.9500000000000001    0.7000000000000001    0.00015712
0.9500000000000001    0.75    0.00019484
0.9500000000000001    0.8    0.00023432
0.9500000000000001    0.8500000000000001    0.00025098
0.9500000000000001    0.9    0.0003008
0.9500000000000001    0.9500000000000001    0.00034928
0.9500000000000001    1.0    0.00042779999999999994
1.0    0.0    0.0
1.0    0.05    3.1600000000000002e-06
1.0    0.1    7.16e-06
1.0    0.15000000000000002    1.36e-05
1.0    0.2    1.864e-05
1.0    0.25    2.372e-05
1.0    0.30000000000000004    3.0480000000000003e-05
1.0    0.35000000000000003    3.706e-05
1.0    0.4    4.58e-05
1.0    0.45    5.748e-05
1.0    0.5    6.526e-05
1.0    0.55    7.552e-05
1.0    0.6000000000000001    9.180000000000001e-05
1.0    0.65    0.00011202000000000002
1.0    0.7000000000000001    0.00012582
1.0    0.75    0.00016776
1.0    0.8    0.00017428
1.0    0.8500000000000001    0.00021976
1.0    0.9    0.00023782
1.0    0.9500000000000001    0.00031991999999999996
1.0    1.0    0.0003629
