#Temp   Susceptibility  SH_Capacity    Magnetisation    Energy
1.0 0.0 0.0 -0.002846140967687929 -2.4684413192700485
1.1 0.0 0.0 0.012221664155365812 -2.560522350577599
1.2000000000000002 0.0 0.0 -0.1479993303197723 -2.4880294659300186
1.3000000000000003 0.0 0.0 -0.026787209107651096 -2.520676377029968
1.4000000000000004 0.0 0.0 0.03515821195379206 -2.5434455047714715
1.5000000000000004 0.0 0.0 0.025950108823037 -2.5082872928176796
1.6000000000000005 0.0 0.0 -0.052737317930688095 -2.5874769797421733
1.7000000000000006 0.0 0.0 0.08689100954294325 -2.592164741336012
1.8000000000000007 0.0 0.0 -0.03532563201071488 -2.5474635861376194
1.9000000000000008 0.0 0.0 -0.1202076008705843 -2.583961158546794
2.000000000000001 0.0 0.0 0.05692281935375858 -2.600535744182153
2.100000000000001 0.0 0.0 -0.1486690105474636 -2.5548300686422234
2.200000000000001 0.0 0.0 -0.11602209944751381 -2.5620291310899046
2.300000000000001 0.0 0.0 -0.12908086388749374 -2.5334003013561026
2.4000000000000012 0.0 0.0 -0.016742005692281934 -2.486857525531559
2.5000000000000013 0.0 0.0 -0.06562866231374519 -2.442826050560857
2.6000000000000014 0.0 0.0 0.0934203917629332 -2.5610246107483676
2.7000000000000015 0.0 0.0 -0.15218483174284278 -2.541603884145321
2.8000000000000016 0.0 0.0 -0.0026787209107651095 -2.443663150845471
2.9000000000000017 0.0 0.0 0.14063284781516824 -2.5086221329315253
