#p1    p3    infected%
0.9500000000000001   0.30000000000000004    0.2779068
0.9500000000000001   0.35000000000000003    0.3121928
0.9500000000000001   0.4    0.33261280000000004
0.9500000000000001   0.45    0.35068119999999997
0.9500000000000001   0.5    0.3745288
0.9500000000000001   0.55    0.3824996
0.9500000000000001   0.6000000000000001    0.3876636
0.9500000000000001   0.65    0.41135479999999996
0.9500000000000001   0.7000000000000001    0.4342584
0.9500000000000001   0.75    0.4374272
0.9500000000000001   0.8    0.43567520000000004
0.9500000000000001   0.8500000000000001    0.4519204
0.9500000000000001   0.9    0.46801000000000004
0.9500000000000001   0.9500000000000001    0.4655416
0.9500000000000001   1.0    0.47319799999999995
1.0   0.0    0.0629512
1.0   0.05    0.0795232
1.0   0.1    0.1200656
1.0   0.15000000000000002    0.1747452
1.0   0.2    0.20193160000000002
1.0   0.25    0.2525756
1.0   0.30000000000000004    0.2895376
1.0   0.35000000000000003    0.3085524
1.0   0.4    0.3349376
1.0   0.45    0.35679279999999997
1.0   0.5    0.38008200000000003
1.0   0.55    0.3879036
1.0   0.6000000000000001    0.4001516
1.0   0.65    0.4176328
1.0   0.7000000000000001    0.42724120000000004
1.0   0.75    0.44608239999999993
1.0   0.8    0.45142839999999995
1.0   0.8500000000000001    0.4570744
1.0   0.9    0.46286000000000005
1.0   0.9500000000000001    0.47615280000000004
1.0   1.0    0.473632
