#p1    variance_avg    variance_stdv
0.2    2.8731518744408    0.3725863767357454
0.225    3.33862048416    0.1918240464560687
0.25    4.0721940202824    0.48465031827494925
0.275    3.9770052674552    0.376681109084499
0.3    3.5867418133776    0.8427639606505881
0.32499999999999996    2.1512418269592013    0.6416190817741162
0.35    1.1963857385959953    0.2621901060691839
0.375    0.8135557667520013    0.21649491806139073
0.39999999999999997    0.6707249965392007    0.24466192634731643
0.42499999999999993    0.5700467329071974    0.14686185545848238
0.44999999999999996    0.6131491917792009    0.21107843571626772
0.4749999999999999    0.45739822868240065    0.042301010990674334
0.49999999999999994    0.4113347749535972    0.03104147566700956
