#imm_frac    infrac
0.25802159999999996    0.25802159999999996
0.224656    0.224656
0.18581335999999998    0.18581335999999998
0.15753416    0.15753416
0.1262408    0.1262408
0.08977655999999999    0.08977655999999999
0.05484456    0.05484456
0.02831912    0.02831912
0.01836712    0.01836712
0.012708    0.012708
0.00992504    0.00992504
0.008431919999999999    0.008431919999999999
0.006770480000000001    0.006770480000000001
0.00632688    0.00632688
0.00559968    0.00559968
0.005460560000000001    0.005460560000000001
0.0053311999999999995    0.0053311999999999995
0.00532176    0.00532176
0.00535776    0.00535776
0.0057943199999999995    0.0057943199999999995
0.00582144    0.00582144
